Matrix-K,Diamond-lambda,ITC,V,D_eq,Matrix-E,Matrix-JC-A,Matrix-JC-B,Matrix-JC-m,Interface-E,Interface-eta,Interface-t,effective-K,effective-a,CTE_list
195.0285289,370.1526829,400.9767663,0.381244345,0.877513941,70580.73782,45.76299319,108.6716698,0.418132068,454490.8261,1.901418959,0.000225413,193.470373,1.37E-05,"[-6.98944644623623e-09, 1.2712161561867e-05, 1.28121111029774e-05, 1.30190336997253e-05, 1.33234816090705e-05, 1.37362205915054e-05, 1.40243332741854e-05, 1.41745767013465e-05, 1.42666195535785e-05, 1.43321018849421e-05, 1.43817819866335e-05]"
216.4269473,75.21448082,9242.752026,0.232032877,0.915521889,69169.28479,41.42736427,105.0208353,0.324191875,253522.9373,1.978009775,0.000420756,339.5845623,1.74E-05,"[-7.65665676634761e-09, 1.67000525606449e-05, 1.67477604128376e-05, 1.68541992947895e-05, 1.70908341909367e-05, 1.73990399423425e-05, 1.75749492089959e-05, 1.76829990225932e-05, 1.77614660678688e-05, 1.7821104075477e-05, 1.78673551836293e-05]"
167.2553365,475.9744744,329.542614,0.129300938,0.35401962,69572.98454,55.39092952,112.4183725,0.773598161,432584.0544,2.13100789,0.00086853,151.5982533,1.99E-05,"[-1.80293254437505e-10, 1.95579726228114e-05, 1.95681485535566e-05, 1.95970854538444e-05, 1.96648583372214e-05, 1.98663966162393e-05, 2.00609583971999e-05, 2.01413740008395e-05, 2.01913003805056e-05, 2.02321011174555e-05, 2.02643774227431e-05]"
154.3327154,431.8402412,799.5049933,0.174335341,0.306581476,69666.78791,49.16803838,111.1044811,0.730233179,357263.0631,2.506008087,0.000327917,149.9008576,1.88E-05,"[-5.55369392011554e-09, 1.83001938876689e-05, 1.83236082316725e-05, 1.84020524455903e-05, 1.85695591915515e-05, 1.88611300042606e-05, 1.90354161656011e-05, 1.91156026933802e-05, 1.9171720449361e-05, 1.92154295641854e-05, 1.92499234669617e-05]"
167.5679996,491.6725777,2594.439047,0.406773525,0.979023805,70998.03711,53.13642098,109.2241502,0.219813591,327798.1168,1.926668536,0.000761584,304.5217909,1.26E-05,"[1.29437950482899e-09, 1.1922350890275e-05, 1.19601314447142e-05, 1.2073817206357e-05, 1.22351887979815e-05, 1.24291615136017e-05, 1.26754736531764e-05, 1.29288457046646e-05, 1.31280690670959e-05, 1.32678991057619e-05, 1.33669055470925e-05]"
160.7189467,208.381325,377.4405778,0.289677527,0.620159236,69991.77317,45.21806405,123.1417541,0.668143755,366389.8747,2.363977445,0.000670291,152.8133963,1.60E-05,"[-8.20605369963801e-10, 1.50724165828784e-05, 1.51469223752197e-05, 1.53148296927877e-05, 1.56448547489045e-05, 1.60649151252628e-05, 1.62880268861589e-05, 1.64003030679637e-05, 1.64750050889536e-05, 1.65300525042834e-05, 1.65721506338768e-05]"
198.403565,445.6427809,1994.302602,0.318804076,0.89200265,70449.11081,50.45238251,102.2038887,0.301519313,488753.5323,2.252953087,0.000991253,287.4234368,1.50E-05,"[7.05729670518703e-09, 1.43333029703509e-05, 1.43754954641075e-05, 1.44881443035588e-05, 1.46604089901942e-05, 1.49408727835888e-05, 1.52322595949424e-05, 1.54248875047705e-05, 1.55445478182573e-05, 1.56282408371896e-05, 1.5691727617182e-05]"
215.7823326,135.8043845,678.8160456,0.196760661,0.392976635,70150.11947,60.42519546,116.0299364,0.718817502,339816.6353,1.652631857,0.00037822,200.7067625,1.80E-05,"[3.67010214528193e-09, 1.74682969512285e-05, 1.74933689302542e-05, 1.75594545356573e-05, 1.76578602981881e-05, 1.78535722897021e-05, 1.81352147256855e-05, 1.83107934582121e-05, 1.84028191030678e-05, 1.84657335333731e-05, 1.85150582403266e-05]"
136.0271888,244.9393066,5258.560871,0.388849469,0.719081917,69243.36215,54.22937099,114.5030965,0.426318782,254090.6248,1.953579338,0.000584405,292.1880466,1.32E-05,"[4.21458020164349e-09, 1.23509843818511e-05, 1.2405890355256e-05, 1.25588337671862e-05, 1.2771066160974e-05, 1.30615854459788e-05, 1.34139966956317e-05, 1.366692092773e-05, 1.38111171840409e-05, 1.39014939381156e-05, 1.39668991295661e-05]"
135.0947571,292.836816,94287.39726,0.020301745,0.785680751,70016.54304,65.01643161,113.0323722,0.496243541,394800.8571,2.374018237,0.000808639,139.5863626,2.31E-05,"[5.04211807319936e-10, 2.30481618748662e-05, 2.30482718878451e-05, 2.30483880689631e-05, 2.30490432860978e-05, 2.30554113407022e-05, 2.30719337515896e-05, 2.30854810177378e-05, 2.30921298618294e-05, 2.30963720154115e-05, 2.30997187914647e-05]"
